ID_Unico,ID_Producto,Tipo_Material,Temp_Aire_K,Temp_Proceso_K,Velocidad_Rotacion_RPM,Torque_Nm,Desgaste_Herramienta_min,Falla_Maquina,Falla_Desgaste_Herramienta,Falla_Disipacion_Calor,Falla_Potencia,Falla_Sobreesfuerzo,Falla_Aleatoria,Potencia_W,Dif_temperatura_K,Esfuerzo_desgaste,Estado_Falla
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1378.246481233244,10.200000000000045,657.8,Falla
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,7951.438924262734,10.200000000000045,7960.5,No Falla
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,6866.684819034852,10.199999999999989,6438.599999999999,No Falla
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,5752.712382707775,10.300000000000011,5335.2,No Falla
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,5330.418481903486,10.300000000000011,4635.400000000001,No Falla
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,6444.621313672922,10.300000000000011,6349.200000000001,No Falla
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,6558.394772117962,10.300000000000011,6699.2,No Falla
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,6385.5039376675595,10.300000000000011,6448.0,No Falla
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,5131.482489946381,10.199999999999989,4779.0,No Falla
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,7850.53619302949,10.300000000000011,8976.0,No Falla
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,7673.403987935657,10.300000000000011,8784.2,No Falla
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,6368.800268096515,10.199999999999989,6455.8,No Falla
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,4386.320794235925,10.199999999999989,3938.7999999999997,No Falla
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,4914.837466487936,10.100000000000023,4506.599999999999,No Falla
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,6156.564175603217,10.100000000000023,6832.2,No Falla
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,6584.010556300268,10.100000000000023,8072.900000000001,No Falla
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,5046.424681635388,10.0,5194.7,No Falla
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,6770.547084450402,10.099999999999966,8114.400000000001,No Falla
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,5181.258378016086,10.099999999999966,6123.599999999999,No Falla
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,9701.428451742628,10.100000000000023,12548.7,Falla
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,4553.70308310992,10.100000000000023,4361.8,No Falla
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,6918.775134048257,10.200000000000045,8918.0,No Falla
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,6365.574731903485,10.200000000000045,8791.199999999999,No Falla
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,5835.288203753351,10.100000000000023,7000.0,No Falla
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,5415.581015415549,10.100000000000023,6524.599999999999,No Falla
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,6744.229641420912,10.099999999999966,9526.800000000001,No Falla
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,7328.868548927613,10.099999999999966,9867.4,No Falla
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,6293.094420241287,10.099999999999966,8590.4,Falla
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,7539.900301608579,10.099999999999966,0.0,No Falla
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,5564.657339142091,10.099999999999966,75.8,No Falla
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,7551.262985924933,10.0,199.6,No Falla
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,7212.94822386059,10.0,427.5,No Falla
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,6208.361260053619,10.0,448.79999999999995,No Falla
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,6169.036947050939,10.0,521.3000000000001,No Falla
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,7088.555630026809,10.0,714.0,No Falla
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,5063.1702412868635,10.0,455.6,No Falla
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,6601.918565683646,10.0,878.0,No Falla
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,5141.923592493298,10.0,795.0,No Falla
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,6716.9487265415555,10.0,1220.4,No Falla
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,6151.191772788204,10.0,1185.0,No Falla
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,4736.448558981234,10.0,851.4,No Falla
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,4772.013237265415,10.0,871.5,No Falla
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,4901.317443029491,10.0,1002.7,No Falla
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,6529.616286863271,9.899999999999977,1720.0,No Falla
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,5418.670408847184,9.899999999999977,1339.8,No Falla
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,7385.451575067023,10.0,2296.8,No Falla
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,5822.4593666219835,10.0,1659.1,No Falla
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,5479.7461461126,10.0,1495.0,No Falla
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,5236.0820207774805,9.900000000000034,1733.1000000000001,No Falla
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,7081.643766756032,10.0,2442.0,No Falla
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,4848.776809651475,10.099999999999966,1425.0,No Falla
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,4316.113019436997,10.0,1221.3,No Falla
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,6611.616119302949,10.0,2476.6,No Falla
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,6111.815097184986,10.0,2551.5,No Falla
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,6590.356903485254,9.899999999999977,2864.4,No Falla
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,5181.81342158177,9.899999999999977,2114.8,No Falla
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,7339.403904155496,9.899999999999977,3395.0,No Falla
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,7337.005697050938,10.0,3369.6,No Falla
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,5551.137315683646,9.900000000000034,2452.5,No Falla
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,5613.81534852547,9.800000000000011,2728.0,No Falla
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,4411.025469168901,9.800000000000011,1845.0,No Falla
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,6828.763823726542,9.900000000000034,3654.0,No Falla
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,6196.694872654156,9.899999999999977,3515.5,No Falla
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,6520.5470844504025,9.800000000000011,3854.7999999999997,No Falla
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,5172.587131367292,9.800000000000011,2793.0,No Falla
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,6848.68255697051,9.800000000000011,4432.900000000001,No Falla
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,5585.246313672922,9.800000000000011,3375.9,No Falla
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,5526.0346849865955,9.800000000000011,3333.0,No Falla
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,5023.322302278821,9.800000000000011,2894.3,No Falla
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,6252.817107908847,9.800000000000011,4314.200000000001,No Falla
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,6708.183227211797,9.800000000000011,4827.6,No Falla
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,6722.268766756033,9.800000000000011,4532.0,No Falla
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,6955.533679624665,9.800000000000011,5678.400000000001,No Falla
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,7026.683981233244,9.800000000000011,4947.599999999999,No Falla
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,5317.296414209115,9.800000000000011,3410.3999999999996,No Falla
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,5260.556300268097,9.700000000000045,3799.6000000000004,No Falla
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,8420.377429624665,9.600000000000023,7260.0,No Falla
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,6880.91697386059,9.700000000000045,5673.0,No Falla
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,6415.2773123324405,9.600000000000023,4786.400000000001,No Falla
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,5600.04398458445,9.600000000000023,4321.799999999999,No Falla
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,6340.095090482574,9.599999999999966,5260.8,No Falla
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,5038.8425770777485,9.599999999999966,3601.0,No Falla
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,6519.26943699732,9.699999999999989,5702.400000000001,No Falla
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,7427.949061662199,9.699999999999989,6696.0,No Falla
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,7598.546414209115,9.599999999999966,7314.0,No Falla
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,5106.767342493297,9.699999999999989,3990.0,No Falla
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,6796.037198391422,9.800000000000011,6535.1,No Falla
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,7511.320794235924,9.900000000000034,8184.4,No Falla
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,7496.292727882037,9.800000000000011,7410.0,No Falla
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,7409.768766756031,9.800000000000011,8649.0,No Falla
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,5712.45601541555,9.800000000000011,5667.7,No Falla
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,5691.689008042896,9.800000000000011,5596.8,No Falla
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,5250.879691689008,9.799999999999955,4540.2,No Falla
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,7441.092074396783,9.799999999999955,8282.0,No Falla
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,6176.524798927614,9.799999999999955,7165.599999999999,No Falla
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,5323.894101876676,9.899999999999977,5779.2,No Falla
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,6094.294571045577,9.899999999999977,6281.400000000001,No Falla
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,6362.213052949061,10.0,7177.900000000001,No Falla
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,6931.970509383378,10.0,8688.0,No Falla
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,6154.982825067023,9.900000000000034,7341.599999999999,No Falla
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,6358.851373994638,9.900000000000034,7942.200000000001,No Falla
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,5760.8076407506705,9.800000000000011,7068.8,No Falla
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,6801.27345844504,9.800000000000011,7831.0,No Falla
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,5231.023793565683,9.800000000000011,5238.0,No Falla
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,5792.727882037534,9.800000000000011,7095.200000000001,No Falla
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,4120.161695710455,9.800000000000011,3920.4,No Falla
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,7201.952077747989,9.700000000000045,9338.0,No Falla
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,6733.097352546917,9.800000000000011,8961.0,No Falla
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,6279.323056300268,9.800000000000011,8440.0,No Falla
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,7240.386226541555,9.800000000000011,10058.0,No Falla
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,8149.442861930296,9.800000000000011,13111.2,Falla
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,7733.704758713136,9.800000000000011,11401.4,Falla
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,5896.342995978553,9.800000000000011,0.0,No Falla
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,6733.662868632708,9.800000000000011,87.6,No Falla
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,6575.067024128686,9.800000000000011,218.0,No Falla
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,4718.708109919571,9.899999999999977,208.0,No Falla
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,5503.434986595174,9.800000000000011,326.0,No Falla
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,6550.372821715818,9.900000000000034,643.5,No Falla
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9349.43657841823,9.900000000000034,1246.0,Falla
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,8157.443867292225,9.900000000000034,1300.2,No Falla
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,5901.265080428954,9.800000000000011,840.0,No Falla
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,7777.898793565682,9.900000000000034,1371.6,No Falla
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,4191.018766756033,9.899999999999977,603.2,No Falla
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,5615.019688337802,9.800000000000011,1078.4,No Falla
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,7973.75586461126,9.900000000000034,2040.5,No Falla
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,6295.764912868633,9.900000000000034,1609.5,No Falla
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,5879.754524128687,9.900000000000034,1353.3000000000002,No Falla
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,4455.345174262734,10.0,877.4,No Falla
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,7549.346514745308,10.0,2158.6,No Falla
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,6800.770777479893,10.100000000000023,2241.0,No Falla
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,7708.036611930295,10.100000000000023,2345.2999999999997,No Falla
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,4622.654155495979,10.100000000000023,1185.8,No Falla
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,6760.032674262735,10.099999999999966,2597.4,No Falla
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,6329.538790214478,10.099999999999966,2319.9,No Falla
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,5342.053451742628,10.0,1805.4,No Falla
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,5784.726876675603,10.0,2330.2000000000003,No Falla
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,7629.859249329758,10.199999999999989,3528.0,No Falla
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,6224.331853217158,10.199999999999989,2801.5,No Falla
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,5651.139410187669,10.199999999999989,2251.2000000000003,No Falla
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,6994.868465147452,10.099999999999966,2994.6,No Falla
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,7718.48818699732,10.199999999999989,3592.7999999999997,No Falla
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,6036.737600536194,10.199999999999989,2560.4,No Falla
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,7583.822050938337,10.199999999999989,3936.7999999999997,No Falla
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,6080.219504021448,10.199999999999989,2802.6,No Falla
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,3000.8587466487934,10.300000000000011,920.1999999999999,Falla
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,6527.9092660857905,10.199999999999989,3818.1,No Falla
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,7423.341152815014,10.300000000000011,4504.5,No Falla
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,6540.53912533512,10.200000000000045,3926.3999999999996,No Falla
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,5820.626675603217,10.300000000000011,3465.0,No Falla
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,7068.354138739946,10.200000000000045,4757.1,No Falla
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,5897.599698391421,10.200000000000045,3605.0,No Falla
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,6795.6182975871325,10.199999999999989,4326.0,No Falla
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,6116.496313672923,10.100000000000023,3819.9,No Falla
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,5913.936829758713,10.100000000000023,4169.0,No Falla
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,5980.311662198391,10.100000000000023,3673.5999999999995,No Falla
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,7459.785522788204,10.100000000000023,6042.0,No Falla
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,5948.150552949061,10.199999999999989,4130.099999999999,No Falla
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,9033.040800938337,10.300000000000011,7223.3,Falla
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,6114.873073056301,10.200000000000045,4477.400000000001,No Falla
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,6805.881367292225,10.200000000000045,5456.0,No Falla
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,5757.822972520107,10.300000000000011,4548.6,No Falla
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,5591.540298257372,10.199999999999989,4339.2,No Falla
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,7445.710455764074,10.300000000000011,6877.0,No Falla
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,6517.195878016086,10.300000000000011,6061.5,No Falla
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,6173.749581099196,10.300000000000011,5082.7,No Falla
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,6533.21883378016,10.300000000000011,5642.0,No Falla
